mel,label
"[[-0.5685946  -0.6737263  -0.82415617 ...  0.05958377 -0.64825296
   0.09827884]
 [-0.1771226  -0.5198439  -0.05085852 ... -0.06240305  0.37679714
   0.10090292]
 [-0.02051021 -0.41786397  0.13000353 ... -0.30726737  0.5619248
   0.10722121]
 ...
 [-1.153738   -1.153738   -1.153738   ... -0.4026643   0.19218946
  -0.8963631 ]
 [-1.153738   -1.153738   -1.153738   ... -0.8320986  -0.2549621
  -1.153738  ]
 [-1.153738   -1.153738   -1.153738   ... -1.153738   -1.153738
  -1.153738  ]]",1
"[[-0.8282322  -0.7548706  -0.26857916 ...  0.23233142  0.14354146
  -0.1704941 ]
 [-0.8282322  -0.7258265  -0.24208736 ...  0.08094861  0.04314985
  -0.21313557]
 [-0.7773968  -0.69537777 -0.21377355 ... -0.35567233 -0.12618288
  -0.2622081 ]
 ...
 [ 0.29364017  0.10808609 -0.1660447  ... -0.8282322  -0.8282322
  -0.8282322 ]
 [ 0.16509092 -0.05737066 -0.33689573 ... -0.8282322  -0.8282322
  -0.8282322 ]
 [-0.5228256  -0.8282322  -0.8282322  ... -0.8282322  -0.8282322
  -0.8282322 ]]",1
"[[ 0.12235496 -0.31251955 -0.07800478 ... -0.32325575 -0.20623562
  -0.34326217]
 [ 0.35313085  0.09752735  0.01688408 ... -0.4831499  -0.11631576
  -0.09259748]
 [ 0.47512788  0.24849539  0.08996473 ... -1.2156676  -0.04586636
   0.03399552]
 ...
 [-0.08377282 -0.9096094  -0.6712887  ... -0.41956764 -0.38140598
  -0.34420988]
 [-0.21163125 -1.2156676  -0.98820454 ... -0.93366665 -0.8104002
  -0.7782632 ]
 [-0.6015937  -1.2156676  -1.2156676  ... -1.2156676  -1.2156676
  -1.2156676 ]]",1
"[[ 0.8894762   1.0555929  -0.07582176 ...  1.2607965   0.89054286
   0.7852823 ]
 [ 0.79761374  0.91504616  0.6548059  ...  1.1206502   0.80232286
   0.6266508 ]
 [ 0.65472907  0.5853936   0.83836156 ...  0.7934202   0.66838354
   0.14874905]
 ...
 [-1.2274216  -1.2031586  -1.2274216  ... -0.6765017   0.6420958
   1.1170809 ]
 [-1.2274216  -1.2274216  -1.2274216  ... -1.0399429   0.1327316
   0.8490159 ]
 [-1.2274216  -1.2274216  -1.2274216  ... -1.2274216  -0.60055315
  -0.14658806]]",1
"[[-1.9358741  -1.9358741  -0.4832991  ... -1.5104301  -1.3473185
  -0.8529332 ]
 [-1.9358741  -1.9358741  -0.20118557 ... -0.89413226 -1.1620958
  -0.5399608 ]
 [-1.9358741  -1.9358741  -0.05999617 ... -0.7146898  -1.0472784
  -0.3925701 ]
 ...
 [-1.9358741  -1.9358741  -1.9358741  ... -0.8010983  -1.373034
  -1.2891504 ]
 [-1.9358741  -1.9358741  -1.9358741  ... -1.0117359  -1.5726072
  -1.6779251 ]
 [-1.9358741  -1.9358741  -1.9358741  ... -1.9358741  -1.9358741
  -1.9358741 ]]",1
"[[ 1.48542392e+00  1.59812793e-01  8.51730332e-02 ...  1.46949664e-01
  -1.04682791e+00 -4.80087221e-01]
 [ 1.50808465e+00  3.02991927e-01  2.67751180e-02 ...  1.20441020e-01
  -2.77786344e-01 -2.37236455e-01]
 [ 1.53256977e+00  3.96407932e-01 -5.07194139e-02 ...  9.28796008e-02
  -1.11899205e-01 -1.15004279e-01]
 ...
 [ 6.17002130e-01 -6.19173460e-02 -2.85332322e-01 ...  1.09382653e+00
   1.03905380e+00  1.36620605e+00]
 [ 3.66928577e-01 -6.42744362e-01 -6.19620144e-01 ...  5.80290973e-01
   8.44941616e-01  1.00038946e+00]
 [ 4.11688561e-05 -1.04682791e+00 -1.04682791e+00 ... -4.70133364e-01
  -8.40614974e-01 -5.03044724e-01]]",1
"[[ 0.23846641 -0.87339693 -1.1271688  ... -0.78910047 -0.85962075
  -0.90372133]
 [ 0.4882232  -0.3350051  -0.7350876  ... -0.6342337  -0.43340385
  -0.5851386 ]
 [ 0.6167926  -0.17001954 -0.5828196  ... -0.53363067 -0.27740368
  -0.4431508 ]
 ...
 [ 0.10485379  0.06898891  0.40255737 ... -0.87195414 -0.51701885
   0.09004944]
 [ 0.17544095 -0.01713869  0.10178425 ... -1.3248482  -0.8682345
  -0.5095409 ]
 [-0.38165823 -1.3492448  -1.3492448  ... -1.3492448  -1.3492448
  -1.3492448 ]]",1
"[[-1.0959289  -1.0265781  -1.0959289  ... -1.0959289  -1.0959289
  -1.0959289 ]
 [-1.0959289  -0.7239349  -0.84752005 ... -1.0959289  -1.0458117
  -1.0040402 ]
 [-1.0959289  -0.5977214  -0.72264403 ... -1.0052823  -0.904041
  -0.8969036 ]
 ...
 [-1.0959289  -1.0959289  -1.0959289  ... -1.0959289  -1.0959289
  -1.0959289 ]
 [-1.0959289  -1.0959289  -1.0959289  ... -1.0959289  -1.0959289
  -1.0959289 ]
 [-1.0959289  -1.0959289  -1.0959289  ... -1.0959289  -1.0959289
  -1.0959289 ]]",1
"[[0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 ...
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]]",1
"[[-0.18111081  0.08704937  0.09198181 ... -0.05135053 -0.15523188
  -0.28834605]
 [-0.3178657  -0.06619335 -0.07252878 ... -0.0537496  -0.18667328
  -0.3257095 ]
 [-0.6278086  -0.49446073 -0.63834685 ... -0.05251987 -0.21972077
  -0.36684373]
 ...
 [-1.0527339  -1.0527339  -1.0527339  ... -0.8259316  -1.0527339
  -1.0527339 ]
 [-1.0527339  -1.0527339  -1.0527339  ... -1.0527339  -1.0527339
  -1.0527339 ]
 [-1.0527339  -1.0527339  -1.0527339  ... -1.0527339  -1.0527339
  -1.0527339 ]]",1
"[[ 1.4347125   1.5290247   1.5749396  ...  1.7953886   1.532479
   1.7232434 ]
 [ 1.5981944   1.4923098   1.5687618  ...  1.943654    1.5874026
   1.7572037 ]
 [ 1.7102565   1.4534074   1.5664858  ...  2.049132    1.6392703
   1.7927588 ]
 ...
 [-1.4114621  -2.0006847  -1.6359512  ... -0.5339407  -0.7320902
  -1.1718605 ]
 [-1.5898296  -2.0006847  -2.0006847  ... -0.73466766 -0.8454837
  -1.3874649 ]
 [-2.0006847  -2.0006847  -2.0006847  ... -2.0006847  -2.0006847
  -2.0006847 ]]",1
"[[ 2.0869248   0.18772851 -0.03417403 ... -0.73038965 -0.3585911
  -0.47980908]
 [ 2.099998    0.35654283  0.4177114  ... -0.4625497  -0.34611043
  -0.31576198]
 [ 2.116446    0.46419126  0.581249   ... -0.32673478 -0.33021477
  -0.20985651]
 ...
 [-0.44157505 -0.9108785  -0.41541523 ... -0.5587143  -0.6253246
  -0.5771716 ]
 [-0.6252413  -1.2510244  -0.6035448  ... -1.1466286  -0.92724884
  -0.9319639 ]
 [-0.9879311  -1.2510244  -1.2510244  ... -1.2510244  -1.2510244
  -1.2510244 ]]",1
"[[-0.94112444 -0.70466924 -0.7638981  ... -0.6050982  -0.8787776
  -0.9801183 ]
 [-0.6507823  -0.8100906  -0.79270595 ... -0.42316523 -0.9379421
  -0.8367906 ]
 [-0.5050299  -0.9852061  -0.82194334 ... -0.30775335 -1.0118374
  -0.7365853 ]
 ...
 [-1.5914624  -1.5914624  -1.5914624  ... -1.1355112  -1.1215076
  -1.103808  ]
 [-1.5914624  -1.5914624  -1.5914624  ... -1.5644109  -1.534066
  -1.3643109 ]
 [-1.5914624  -1.5914624  -1.5914624  ... -1.5914624  -1.5914624
  -1.5914624 ]]",1
"[[-1.0765525  -0.6138698  -0.6138734  ...  0.14551115  0.2820814
   0.35220033]
 [-1.0765525  -0.78999966 -0.7900028  ... -0.01481447  0.11156176
   0.18121004]
 [-1.0765525  -1.0765525  -1.0765525  ... -0.56120986 -0.6983956
  -0.6512266 ]
 ...
 [-1.0765525  -1.0765525  -1.0765525  ...  1.5531497   1.7395153
   0.50330055]
 [-1.0765525  -1.0765525  -1.0765525  ...  1.4136099   1.1436274
   0.08434065]
 [-1.0765525  -1.0765525  -1.0765525  ...  0.6826032   0.09319066
  -0.97217166]]",0
"[[-1.2580743  -1.2738026  -1.0461832  ... -1.8384638  -0.4584825
  -1.5629486 ]
 [-0.9720641  -0.9756918  -0.84977484 ... -1.0022491  -0.3898177
  -0.4722872 ]
 [-0.81615865 -0.81671685 -0.7219647  ... -0.784759   -0.32745036
  -0.24822605]
 ...
 [-0.2967915  -0.5192675  -0.84213686 ... -1.2174624  -0.7208316
   0.2934913 ]
 [-0.290152   -0.5499833  -1.1218896  ... -1.9125786  -0.87056774
  -0.07580825]
 [-0.7653496  -0.9908449  -1.651792   ... -2.204935   -2.0641665
  -1.057578  ]]",1
"[[ 1.1190495  -1.1086329  -0.37015298 ... -0.3078746  -0.3002751
  -0.39833242]
 [ 1.1129718  -1.1572666  -0.5471937  ... -0.48710072 -0.47677794
  -0.48572376]
 [ 1.1102731  -1.2151407  -1.3666923  ... -1.3666923  -1.3666923
  -0.61843467]
 ...
 [-0.74919635 -0.52605987 -0.19674052 ...  0.59318316  0.37491736
   0.27523685]
 [-0.6754911  -0.8794995  -0.65717334 ...  0.02796759 -0.27327073
  -0.4690508 ]
 [-1.3666923  -1.3666923  -1.3666923  ... -1.3666923  -1.3666923
  -1.3666923 ]]",1
"[[ 0.10239125 -0.13622496  0.57561386 ... -1.2778546  -1.2778546
  -1.2778546 ]
 [ 0.206238    0.04084563  0.81609166 ... -1.2778546  -1.2778546
  -1.2778546 ]
 [ 0.28421175  0.14843553  0.9413048  ... -1.2778546  -1.2778546
  -1.2778546 ]
 ...
 [-0.98260564 -0.7113429  -1.0384252  ... -1.2778546  -1.2778546
  -1.2778546 ]
 [-1.2634118  -0.73583347 -0.96157223 ... -1.2778546  -1.2778546
  -1.2778546 ]
 [-1.2778546  -1.2778546  -1.2778546  ... -1.2778546  -1.2778546
  -1.2778546 ]]",1
"[[0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 ...
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]]",1
"[[-1.4564475  -1.4564475  -0.56700486 ... -1.0413829  -1.188821
  -1.2754165 ]
 [-1.4564475  -1.4564475  -0.30757445 ... -0.9909521  -1.151047
  -0.8345597 ]
 [-1.4564475  -1.4564475  -0.18434    ... -0.94552714 -1.1146798
  -0.6886716 ]
 ...
 [-1.4564475  -1.4564475  -1.4564475  ... -0.4216061  -0.6271465
  -1.1248316 ]
 [-1.4564475  -1.4564475  -1.4564475  ... -0.8588793  -1.4564475
  -1.4564475 ]
 [-1.4564475  -1.4564475  -1.4564475  ... -1.2478381  -1.4564475
  -1.4564475 ]]",1
"[[-0.8713801  -0.78563046 -0.22256562 ... -0.6539463  -1.5073726
  -0.61405647]
 [-0.8016501  -0.8991311   0.22706889 ... -0.7636206  -1.323177
  -0.5534652 ]
 [-0.74092525 -1.1019043   0.39572653 ... -0.95402575 -1.2078916
  -0.49881375]
 ...
 [ 1.3362774   0.9639323   0.31135798 ... -1.6107777  -1.6107777
  -1.6107777 ]
 [ 0.6968142   0.8144351   0.18892112 ... -1.6107777  -1.6107777
  -1.6107777 ]
 [-0.47834632 -0.42087194 -0.99069    ... -1.6107777  -1.6107777
  -1.6107777 ]]",1
"[[-1.4890752  -1.4890752  -1.4890752  ... -0.03378449  0.12030471
   0.00740956]
 [-1.4890752  -1.4890752  -1.4890752  ...  0.13239115  0.36996645
   0.22961597]
 [-1.4890752  -1.4890752  -1.4890752  ...  0.23663248  0.4977838
   0.35077015]
 ...
 [-1.4890752  -1.4890752  -1.4890752  ... -1.4890752  -1.4890752
  -1.4890752 ]
 [-1.4890752  -1.4890752  -1.4890752  ... -1.4890752  -1.4890752
  -1.4890752 ]
 [-1.4890752  -1.4890752  -1.4890752  ... -1.4890752  -1.4890752
  -1.4890752 ]]",1
"[[ 3.190363    1.2309668   1.7325733  ... -0.36324158 -0.36324158
  -0.36324158]
 [ 3.2133453   1.8647528   1.9026763  ... -0.36324158 -0.36324158
  -0.36324158]
 [ 3.2401862   2.0809374   2.0226924  ... -0.36324158 -0.36324158
  -0.36324158]
 ...
 [ 1.2695116   1.3211952   0.80099607 ... -0.36324158 -0.36324158
  -0.36324158]
 [ 1.0370414   0.894116    0.549089   ... -0.36324158 -0.36324158
  -0.36324158]
 [ 0.5385902   0.20213144 -0.36324158 ... -0.36324158 -0.36324158
  -0.36324158]]",0
"[[ 2.5777304  2.3771923  3.1520252 ... -0.4717383 -0.4717383 -0.4717383]
 [ 2.5282025  2.5900025  3.0561645 ... -0.4717383 -0.4717383 -0.4717383]
 [ 2.4737918  2.7301846  2.924752  ... -0.4717383 -0.4717383 -0.4717383]
 ...
 [ 2.9073935  2.268079   2.778378  ... -0.4717383 -0.4717383 -0.4717383]
 [ 2.5909686  2.0781138  2.4531038 ... -0.4717383 -0.4717383 -0.4717383]
 [ 1.3104366  1.0768576  1.3954775 ... -0.4717383 -0.4717383 -0.4717383]]",1
"[[ 0.7796038  -0.5889877  -2.0879543  ... -0.22328949 -0.8899514
  -0.28911778]
 [ 0.79305696 -0.6244073  -1.1237174  ... -0.15787701 -1.109451
   0.05378063]
 [ 0.8110306  -0.66056347 -0.8924504  ... -0.09708653 -2.1518803
   0.22772618]
 ...
 [-0.1250696  -0.31143197  0.31781402 ... -2.220324   -2.4803696
  -2.4803696 ]
 [-0.44949582 -0.5392432  -0.2802764  ... -2.4803696  -2.4803696
  -2.4803696 ]
 [-1.5470285  -2.1661022  -1.896306   ... -2.4803696  -2.4803696
  -2.4803696 ]]",0
"[[ 1.3606086   0.426713    0.07775024 ... -0.02615527  0.11616021
   0.05927375]
 [ 1.3541201   0.5923291   0.6610212  ... -0.00753013  0.11486123
   0.13657983]
 [ 1.3508291   0.6976608   0.8310036  ...  0.0138635   0.11707844
   0.20083974]
 ...
 [-0.19771948 -1.3016307  -0.7010346  ... -0.86819834 -0.9061949
  -0.9588845 ]
 [-0.34461492 -1.3016307  -1.3016307  ... -1.3016307  -1.3016307
  -1.233519  ]
 [-0.7422041  -1.3016307  -1.3016307  ... -1.3016307  -1.3016307
  -1.3016307 ]]",1
"[[ 0.28533682 -0.5791288  -0.06284113 ... -1.4154265  -1.522392
  -1.522392  ]
 [ 0.29363686 -0.7343572  -0.03126889 ... -1.522392   -1.522392
  -1.522392  ]
 [ 0.30614263 -1.0888209   0.0022731  ... -1.522392   -1.522392
  -1.522392  ]
 ...
 [-1.522392   -1.522392   -0.43639138 ... -1.522392   -1.1245755
  -1.522392  ]
 [-1.522392   -1.522392   -0.7979699  ... -1.522392   -1.522392
  -1.522392  ]
 [-1.522392   -1.522392   -1.522392   ... -1.522392   -1.522392
  -1.522392  ]]",1
"[[-0.50974727  0.41283074  0.1787557  ...  0.6338845   0.46945614
   0.4361434 ]
 [-0.08785007  0.5558623   0.30589205 ...  0.57137495  0.7500825
   0.34853464]
 [ 0.07332589  0.65380186  0.39691797 ...  0.49005318  0.8891998
   0.21476977]
 ...
 [-1.2778798  -1.2778798  -1.2778798  ... -0.21728764 -0.842975
  -1.1567267 ]
 [-1.2778798  -1.2778798  -1.2778798  ... -0.23035434 -1.1081235
  -1.2778798 ]
 [-1.2778798  -1.2778798  -1.2778798  ... -1.0057896  -1.2778798
  -1.2778798 ]]",0
"[[ 0.62230474 -0.5997516  -0.43878523 ... -0.94208723 -0.94208723
  -0.94208723]
 [ 0.6444575  -0.54981583 -0.4378319  ... -0.94208723 -0.94208723
  -0.94208723]
 [ 0.66903025 -0.5032853  -0.43324238 ... -0.94208723 -0.94208723
  -0.94208723]
 ...
 [-0.94208723  0.2956957   0.6509865  ... -0.94208723 -0.94208723
  -0.94208723]
 [-0.94208723  0.17697988  0.5422855  ... -0.94208723 -0.94208723
  -0.94208723]
 [-0.94208723 -0.23580305 -0.06575137 ... -0.94208723 -0.94208723
  -0.94208723]]",1
"[[-1.1426578  -0.86767155 -0.8676745  ... -0.11786199  0.38732845
   0.2387395 ]
 [-1.1426578  -1.0321187  -1.0321225  ... -0.04118049  0.23431043
   0.33540305]
 [-1.1426578  -1.1426578  -1.1426578  ...  0.0218382  -0.33604795
   0.4094053 ]
 ...
 [-1.1426578  -1.1426578  -1.1426578  ... -1.1426578  -1.1426578
  -1.1426578 ]
 [-1.1426578  -1.1426578  -1.1426578  ... -1.1426578  -1.1426578
  -1.1426578 ]
 [-1.1426578  -1.1426578  -1.1426578  ... -1.1426578  -1.1426578
  -1.1426578 ]]",0
"[[-0.40089047 -1.626661   -1.6538737  ... -1.4017092  -1.6538737
  -0.8507012 ]
 [-0.29847214 -1.6538737  -1.5573193  ... -1.2166096  -1.526919
  -0.5108339 ]
 [-0.22070864 -1.6538737  -1.3842357  ... -1.1054343  -1.3507165
  -0.36528978]
 ...
 [-0.12572093 -0.2520091   0.02435267 ... -0.7632663   0.11309979
  -0.21512035]
 [-0.27375442 -0.3114816  -0.04159183 ... -0.5505683   0.12806611
  -0.16552803]
 [-0.47973564 -0.9580349  -0.63078153 ... -1.5294147  -0.49535775
  -0.84260666]]",1
"[[ 0.71453035 -0.345387   -0.0516205  ... -0.775378   -0.775378
  -0.775378  ]
 [ 0.85798264 -0.07525175 -0.1685354  ... -0.775378   -0.775378
  -0.775378  ]
 [ 0.9570084   0.06342999 -0.38583523 ... -0.775378   -0.775378
  -0.775378  ]
 ...
 [ 2.0291626   1.0866256   0.64430493 ... -0.775378   -0.775378
  -0.775378  ]
 [ 1.2400522   0.6613805  -0.02234835 ... -0.775378   -0.775378
  -0.775378  ]
 [ 0.8751366  -0.09989781 -0.775378   ... -0.775378   -0.775378
  -0.775378  ]]",0
"[[ 2.3582892   1.2005788   1.6350931  ... -0.34340924 -0.34340924
  -0.34340924]
 [ 2.549243    1.5610808   2.7198699  ... -0.34340924 -0.34340924
  -0.34340924]
 [ 2.6855323   1.7550029   2.9891984  ... -0.34340924 -0.34340924
  -0.34340924]
 ...
 [-0.34340924 -0.34340924 -0.34340924 ... -0.34340924 -0.34340924
  -0.34340924]
 [-0.34340924 -0.34340924 -0.34340924 ... -0.34340924 -0.34340924
  -0.34340924]
 [-0.34340924 -0.34340924 -0.34340924 ... -0.34340924 -0.34340924
  -0.34340924]]",0
"[[ 6.023045    5.793338    5.739388   ... -0.23753643 -0.23753643
  -0.23753643]
 [ 6.1597652   6.127001    6.3265676  ... -0.23753643 -0.23753643
  -0.23753643]
 [ 6.275002    6.3317585   6.59265    ... -0.23753643 -0.23753643
  -0.23753643]
 ...
 [ 2.0899343   2.887632    2.3570807  ... -0.23753643 -0.23753643
  -0.23753643]
 [ 1.5986446   2.0365868   2.1438754  ... -0.23753643 -0.23753643
  -0.23753643]
 [ 0.8001851   0.80201447  1.3023438  ... -0.23753643 -0.23753643
  -0.23753643]]",0
"[[ 0.8184116   0.7427879   0.60198027 ...  0.03921619  0.22714013
  -0.25555366]
 [ 0.7369335   0.62295     0.48084608 ...  0.0063555   0.07601437
  -0.22026159]
 [ 0.6082015   0.34815305  0.1984288  ... -0.02993524 -0.6176619
  -0.18560345]
 ...
 [-0.01508723 -0.9690143  -1.3843507  ... -1.3843507  -1.3843507
  -1.3843507 ]
 [-0.1690022  -1.3843507  -1.3843507  ... -1.3843507  -1.3843507
  -1.3843507 ]
 [-0.5392149  -1.3843507  -1.3843507  ... -1.3843507  -1.3843507
  -1.3843507 ]]",1
"[[ 1.1676607   1.6762055   1.2648945  ...  1.4790093   1.5624518
   1.4548148 ]
 [ 1.3186395   1.6235207   1.1774666  ...  1.5816191   1.6644311
   1.550871  ]
 [ 1.4170119   1.5575312   1.0384021  ...  1.6589462   1.7414418
   1.62485   ]
 ...
 [-1.1857691  -1.0674264  -0.9685842  ... -0.66805786 -0.778446
  -1.2631181 ]
 [-1.2327428  -1.0968533  -1.1444466  ... -0.8480379  -1.0395169
  -1.3097165 ]
 [-1.3097165  -1.3097165  -1.3097165  ... -1.3097165  -1.3097165
  -1.3097165 ]]",1
"[[ 0.42187428  0.11550976  0.337082   ... -0.92893595 -0.92893595
  -0.92893595]
 [ 0.3075825   0.12829739  0.2950024  ... -0.92893595 -0.92893595
  -0.92893595]
 [ 0.12021535  0.14521138  0.24898729 ... -0.92893595 -0.92893595
  -0.92893595]
 ...
 [-0.19116646  0.8406144   0.6566115  ... -0.92893595 -0.92893595
  -0.92893595]
 [-0.54648566 -0.04380012  0.21771505 ... -0.92893595 -0.92893595
  -0.92893595]
 [-0.92893595 -0.92893595 -0.92893595 ... -0.92893595 -0.92893595
  -0.92893595]]",1
"[[-0.10610918 -0.88396156 -0.88396156 ... -0.1827719   0.614303
   0.88972104]
 [-0.06812777 -0.88396156 -0.88396156 ... -0.3015335   0.4963399
   0.7379219 ]
 [-0.03121078 -0.75725883 -0.88396156 ... -0.5605595   0.24137478
   0.13139634]
 ...
 [-0.88396156 -0.88396156 -0.88396156 ...  0.8104628  -0.01627471
  -0.17763911]
 [-0.88396156 -0.88396156 -0.88396156 ...  0.5068464  -0.2984688
  -0.40926927]
 [-0.88396156 -0.88396156 -0.88396156 ... -0.15922639 -0.88396156
  -0.88396156]]",1
